City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,mangalia,43.8,28.5833,10.61,85,100,8.67,RO,1701219410
82,tolanaro,-25.0319,46.9987,25.04,78,20,6.17,MG,1701219410
83,alice springs,-23.7,133.8833,28.75,24,100,5.14,AU,1701219411
84,tura,25.5198,90.2201,17.82,73,10,1.32,IN,1701219411
85,icod de los vinos,28.3724,-16.7119,19.7,79,4,1.6,ES,1701219411
86,vorgashor,67.5833,63.95,-11.41,90,100,2.95,RU,1701219313
87,megion,61.0296,76.1136,-7.99,86,100,4.28,RU,1701219411
88,aleg,17.0481,-13.9209,24.45,14,2,4.51,MR,1701219411
89,ashburton,-37.8626,145.0794,18.53,86,100,4.92,AU,1701219412
90,badger,64.8,-147.5333,-5.01,89,100,1.54,US,1701219412
91,udachny,66.4167,112.4,-17.53,84,100,9.89,RU,1701219412
92,loreto,22.2667,-101.9667,18.31,51,100,2.72,MX,1701219412
93,dazuocun,24.8862,118.9643,18.04,67,58,7.48,CN,1701219412
94,noumea,-22.2763,166.4572,31.99,69,100,3.8,NC,1701218778
95,island harbour,50.724,-1.2758,4.4,91,97,3.34,GB,1701219413
96,hidrolandia,-4.4081,-40.4378,28.21,55,54,0.71,BR,1701219185
97,arrifes,37.7667,-25.7,17.14,94,75,3.6,PT,1701219413
98,enewetak,11.3474,162.3373,27.87,76,100,9.33,MH,1701219413
99,iskateley,67.6803,53.1512,-17.21,95,90,4.92,RU,1701219413
100,prince rupert,54.3161,-130.3201,6.83,95,100,2.57,CA,1701219414
101,turi,40.9173,17.0212,11.92,75,0,4.12,IT,1701219414
102,buala,-8.145,159.5921,29.29,74,100,2.14,SB,1701219414
103,taulaga,-11.0553,-171.0883,28.67,72,100,4.32,AS,1701219414
104,nema,57.5067,50.5011,-9.87,97,100,1.73,RU,1701219414
105,hamilton,39.1834,-84.5333,-4.39,67,0,2.57,US,1701219415
106,tres lagoas,-20.7511,-51.6783,23.36,84,100,2.3,BR,1701219155
107,bredasdorp,-34.5322,20.0403,16.26,63,90,2.43,ZA,1701219415
108,lihue,21.9789,-159.3672,27.42,71,75,4.12,US,1701219415
109,tamanrasset,22.785,5.5228,8.95,18,0,1.03,DZ,1701219416
110,chibougamau,49.9168,-74.3659,-8.21,86,100,7.2,CA,1701219416
111,tazovsky,67.4667,78.7,-16.91,96,100,3.83,RU,1701219416
112,hami,42.8,93.45,0.6,34,5,2.13,CN,1701219416
113,qaqortoq,60.7167,-46.0333,-5.36,63,100,3.57,GL,1701219416
114,arno,60.1167,18.6333,0.44,88,100,7.04,SE,1701219417
115,portland,45.5234,-122.6762,6.89,66,75,4.92,US,1701218842
116,aver-o-mar,41.4078,-8.7812,17.31,94,75,6.17,PT,1701219417
117,mount pearl,47.5166,-52.7813,5.64,93,75,10.8,CA,1701219417
118,cabedelo,-6.9811,-34.8339,25.37,71,100,5.05,BR,1701219417
119,patterson,37.4716,-121.1297,16.97,49,34,0.68,US,1701219417
120,vilyuchinsk,52.9306,158.4028,-10.85,71,100,1.62,RU,1701219418
